age,wage,educ
34,90000,bachelor's degree
33,40000,some college but no degree
47,229339,bachelor's degree
36,32000,some college but no degree
29,30000,high school diploma or equivalent
43,53000,high school diploma or equivalent
30,20000,high school diploma or equivalent
24,0,some college but no degree
29,0,high school diploma or equivalent
26,33500,"associate's degree, academic program"
43,100000,bachelor's degree
35,0,some college but no degree
43,100000,bachelor's degree
25,37000,some college but no degree
29,43000,grade 11
20,1700,some college but no degree
43,17530,high school diploma or equivalent
33,44000,professional school degree
47,90000,bachelor's degree
42,0,high school diploma or equivalent
27,56000,bachelor's degree
29,26500,bachelor's degree
39,68000,some college but no degree
43,20000,high school diploma or equivalent
45,0,none or preschool
41,0,none or preschool
32,83037,doctorate degree
48,27300,high school diploma or equivalent
49,15000,some college but no degree
50,52000,master's degree
47,0,high school diploma or equivalent
42,118000,some college but no degree
37,47000,bachelor's degree
30,35000,bachelor's degree
27,4080,grade 9
37,45000,bachelor's degree
27,20000,high school diploma or equivalent
43,40000,high school diploma or equivalent
21,0,high school diploma or equivalent
25,0,grade 11
50,100000,doctorate degree
43,70000,doctorate degree
42,0,high school diploma or equivalent
44,55698,high school diploma or equivalent
26,20000,some college but no degree
27,25000,high school diploma or equivalent
49,105000,bachelor's degree
20,600,some college but no degree
50,0,high school diploma or equivalent
26,22000,some college but no degree
30,20000,bachelor's degree
32,70000,high school diploma or equivalent
46,23000,grade 11
45,16000,some college but no degree
35,17000,high school diploma or equivalent
41,18000,high school diploma or equivalent
45,15000,grade 11
43,38000,high school diploma or equivalent
40,25000,high school diploma or equivalent
44,40000,some college but no degree
46,0,bachelor's degree
35,70000,some college but no degree
40,24000,high school diploma or equivalent
38,40000,grade 11
31,22000,high school diploma or equivalent
39,52000,high school diploma or equivalent
22,0,high school diploma or equivalent
34,0,grade 10
23,50000,some college but no degree
28,30000,professional school degree
24,18000,bachelor's degree
29,18000,bachelor's degree
48,8000,high school diploma or equivalent
33,15600,"12th grade, no diploma"
40,120037,doctorate degree
43,130000,some college but no degree
48,12000,high school diploma or equivalent
32,42000,master's degree
48,170037,professional school degree
50,14600,high school diploma or equivalent
33,36950,high school diploma or equivalent
32,83000,"associate's degree, occupational/vocational program"
27,21000,high school diploma or equivalent
31,0,some college but no degree
20,0,high school diploma or equivalent
45,63500,bachelor's degree
42,85808,bachelor's degree
48,52000,high school diploma or equivalent
22,5000,some college but no degree
41,21000,high school diploma or equivalent
36,58000,high school diploma or equivalent
48,1000,high school diploma or equivalent
22,2500,high school diploma or equivalent
36,0,some college but no degree
30,35000,bachelor's degree
39,19600,some college but no degree
28,38000,bachelor's degree
32,24000,some college but no degree
36,58000,grade 10
48,40000,some college but no degree
36,0,master's degree
37,35000,high school diploma or equivalent
47,58000,master's degree
43,23700,high school diploma or equivalent
24,30000,bachelor's degree
41,54000,"associate's degree, academic program"
49,93000,bachelor's degree
37,25000,high school diploma or equivalent
31,39000,bachelor's degree
30,504,some college but no degree
41,27000,some college but no degree
24,35000,bachelor's degree
39,75000,master's degree
41,55000,bachelor's degree
31,7500,bachelor's degree
50,45000,high school diploma or equivalent
23,32000,bachelor's degree
44,3640,high school diploma or equivalent
44,24500,high school diploma or equivalent
36,42000,high school diploma or equivalent
41,42000,bachelor's degree
41,229339,high school diploma or equivalent
23,10400,high school diploma or equivalent
27,20800,high school diploma or equivalent
37,36000,bachelor's degree
36,70000,doctorate degree
39,12960,none or preschool
36,229339,high school diploma or equivalent
30,36000,some college but no degree
42,44000,bachelor's degree
32,40000,bachelor's degree
43,85912,master's degree
30,59000,high school diploma or equivalent
24,2240,high school diploma or equivalent
29,720,some college but no degree
28,15600,some college but no degree
23,6000,bachelor's degree
30,25000,high school diploma or equivalent
43,24000,high school diploma or equivalent
34,48500,master's degree
33,0,grade 10
35,43000,bachelor's degree
30,0,grade 10
22,3000,some college but no degree
31,28000,high school diploma or equivalent
50,140000,master's degree
40,52000,"associate's degree, occupational/vocational program"
46,17160,high school diploma or equivalent
40,55000,high school diploma or equivalent
33,60000,some college but no degree
39,31200,high school diploma or equivalent
38,57200,high school diploma or equivalent
34,12700,bachelor's degree
30,91000,master's degree
41,4800,high school diploma or equivalent
34,23000,high school diploma or equivalent
31,25000,some college but no degree
45,32000,high school diploma or equivalent
39,40000,bachelor's degree
31,26000,high school diploma or equivalent
31,64000,professional school degree
42,21420,some college but no degree
29,14000,grades 7 or 8
42,56000,bachelor's degree
36,229339,professional school degree
25,5000,master's degree
24,8000,bachelor's degree
22,3000,bachelor's degree
33,39000,master's degree
31,96000,master's degree
31,48000,master's degree
28,35000,bachelor's degree
28,35000,professional school degree
25,24183,bachelor's degree
28,24200,some college but no degree
26,0,grade 9
44,31000,high school diploma or equivalent
46,0,high school diploma or equivalent
37,37000,bachelor's degree
36,31000,master's degree
27,2617,bachelor's degree
48,0,bachelor's degree
20,0,high school diploma or equivalent
46,36000,"associate's degree, academic program"
44,105000,bachelor's degree
28,0,high school diploma or equivalent
50,7800,grade 10
31,100,some college but no degree
47,0,grades 7 or 8
34,91000,professional school degree
32,69624,doctorate degree
41,60000,some college but no degree
48,0,high school diploma or equivalent
33,65000,doctorate degree
29,17000,high school diploma or equivalent
29,24152,some college but no degree
26,23000,some college but no degree
37,28000,some college but no degree
41,32000,"12th grade, no diploma"
37,50000,high school diploma or equivalent
35,55000,bachelor's degree
28,27000,high school diploma or equivalent
20,20250,grade 11
21,0,some college but no degree
36,30000,professional school degree
28,30000,bachelor's degree
33,30000,some college but no degree
50,45000,some college but no degree
43,74000,professional school degree
26,18000,some college but no degree
25,8000,some college but no degree
50,0,grades 7 or 8
43,0,high school diploma or equivalent
24,10000,"associate's degree, academic program"
42,0,professional school degree
37,130000,master's degree
46,150000,bachelor's degree
32,64624,bachelor's degree
30,20000,master's degree
46,100000,master's degree
30,0,doctorate degree
32,16900,doctorate degree
26,30000,high school diploma or equivalent
48,42000,some college but no degree
37,28000,high school diploma or equivalent
33,66500,master's degree
42,90000,bachelor's degree
45,88000,professional school degree
38,50000,bachelor's degree
37,60000,bachelor's degree
40,44000,"associate's degree, occupational/vocational program"
36,48484,bachelor's degree
48,29000,high school diploma or equivalent
20,0,grade 11
31,0,some college but no degree
28,25200,high school diploma or equivalent
43,16000,some college but no degree
28,15000,master's degree
44,50000,master's degree
47,26500,bachelor's degree
47,33000,high school diploma or equivalent
38,40000,high school diploma or equivalent
44,52000,high school diploma or equivalent
30,50000,master's degree
25,36000,some college but no degree
31,67000,master's degree
48,58000,some college but no degree
48,48000,"12th grade, no diploma"
23,23000,grade 11
22,28000,grade 11
23,6500,"associate's degree, occupational/vocational program"
29,35000,high school diploma or equivalent
50,90000,professional school degree
36,49000,bachelor's degree
36,90000,professional school degree
31,44000,bachelor's degree
40,13000,bachelor's degree
46,0,high school diploma or equivalent
20,5100,grade 11
30,35151,master's degree
23,40000,bachelor's degree
29,35000,bachelor's degree
31,36000,bachelor's degree
48,27500,bachelor's degree
49,229339,bachelor's degree
37,15000,high school diploma or equivalent
21,0,high school diploma or equivalent
41,25000,some college but no degree
37,18200,"grades 1, 2, 3, or 4"
24,40529,bachelor's degree
36,25000,high school diploma or equivalent
38,10400,high school diploma or equivalent
30,35000,some college but no degree
38,87000,bachelor's degree
32,6000,high school diploma or equivalent
29,4800,"grades 1, 2, 3, or 4"
26,50000,high school diploma or equivalent
29,84000,bachelor's degree
33,54000,bachelor's degree
38,52000,high school diploma or equivalent
29,0,master's degree
46,0,"12th grade, no diploma"
38,0,some college but no degree
27,15000,grade 11
22,5000,grade 10
21,14000,some college but no degree
37,43000,bachelor's degree
31,2600,grade 11
22,3500,high school diploma or equivalent
31,47500,master's degree
29,30500,bachelor's degree
45,55000,some college but no degree
46,101000,doctorate degree
42,52000,"12th grade, no diploma"
26,19000,master's degree
30,8000,high school diploma or equivalent
36,41000,master's degree
33,39000,bachelor's degree
29,33000,bachelor's degree
24,19000,bachelor's degree
24,27000,bachelor's degree
38,23000,high school diploma or equivalent
37,0,grade 9
49,29120,"grades 1, 2, 3, or 4"
25,33000,"associate's degree, occupational/vocational program"
24,22000,some college but no degree
35,130000,master's degree
20,7200,some college but no degree
43,25000,some college but no degree
34,80037,master's degree
36,30000,high school diploma or equivalent
29,39275,master's degree
46,41000,some college but no degree
44,0,grades 7 or 8
44,7300,none or preschool
34,17500,high school diploma or equivalent
31,43000,high school diploma or equivalent
47,52000,"12th grade, no diploma"
27,26000,high school diploma or equivalent
21,0,"grades 1, 2, 3, or 4"
29,15000,high school diploma or equivalent
39,35000,bachelor's degree
27,30000,some college but no degree
39,0,bachelor's degree
37,25000,bachelor's degree
28,50000,bachelor's degree
48,70000,some college but no degree
40,27000,some college but no degree
29,100000,bachelor's degree
50,229339,professional school degree
33,55000,some college but no degree
22,2000,some college but no degree
25,31000,bachelor's degree
29,29000,master's degree
44,15600,high school diploma or equivalent
34,50000,some college but no degree
37,22000,grade 9
47,60000,high school diploma or equivalent
38,40000,"associate's degree, academic program"
31,229339,bachelor's degree
22,40000,bachelor's degree
23,25000,bachelor's degree
20,1173,high school diploma or equivalent
48,0,grade 10
48,6188,high school diploma or equivalent
45,47000,some college but no degree
34,28000,high school diploma or equivalent
48,11479,"associate's degree, occupational/vocational program"
26,25000,bachelor's degree
24,19650,bachelor's degree
24,0,bachelor's degree
22,5000,bachelor's degree
39,23500,"grades 1, 2, 3, or 4"
50,60000,some college but no degree
25,23000,some college but no degree
37,40000,bachelor's degree
29,41000,bachelor's degree
38,21500,bachelor's degree
21,0,high school diploma or equivalent
48,30000,high school diploma or equivalent
33,33000,high school diploma or equivalent
46,11500,high school diploma or equivalent
50,22000,high school diploma or equivalent
41,10000,high school diploma or equivalent
46,69624,professional school degree
39,40000,bachelor's degree
25,27000,bachelor's degree
27,41000,some college but no degree
32,33000,"associate's degree, academic program"
30,29000,"12th grade, no diploma"
49,400,high school diploma or equivalent
39,26446,grade 9
28,0,bachelor's degree
29,12200,high school diploma or equivalent
27,0,master's degree
48,0,high school diploma or equivalent
42,0,high school diploma or equivalent
39,5200,high school diploma or equivalent
29,5000,grade 10
49,15000,grade 10
23,10700,high school diploma or equivalent
34,0,grade 9
50,65000,bachelor's degree
23,0,some college but no degree
26,10400,some college but no degree
23,9000,high school diploma or equivalent
26,22500,bachelor's degree
27,7500,master's degree
24,2900,bachelor's degree
24,0,bachelor's degree
24,14000,bachelor's degree
31,21000,grade 9
29,36490,bachelor's degree
39,44000,high school diploma or equivalent
21,0,"12th grade, no diploma"
30,35900,bachelor's degree
23,0,bachelor's degree
43,0,bachelor's degree
31,15000,high school diploma or equivalent
36,56650,bachelor's degree
47,75000,professional school degree
46,42000,some college but no degree
24,29500,high school diploma or equivalent
47,20000,high school diploma or equivalent
27,55000,some college but no degree
23,31000,bachelor's degree
49,89000,bachelor's degree
33,32000,some college but no degree
30,9000,high school diploma or equivalent
24,19500,"12th grade, no diploma"
45,36000,grades 5 or 6
49,13000,none or preschool
49,19000,high school diploma or equivalent
24,21500,high school diploma or equivalent
45,51000,some college but no degree
27,44000,professional school degree
47,0,professional school degree
43,5500,bachelor's degree
34,28000,bachelor's degree
38,16000,high school diploma or equivalent
50,36000,some college but no degree
32,40000,bachelor's degree
34,15600,"grades 1, 2, 3, or 4"
24,22000,high school diploma or equivalent
32,30000,some college but no degree
33,40000,high school diploma or equivalent
21,0,some college but no degree
21,0,some college but no degree
40,44000,bachelor's degree
29,55000,bachelor's degree
48,66000,master's degree
44,0,some college but no degree
26,30000,bachelor's degree
26,40000,bachelor's degree
25,32000,bachelor's degree
38,2500,bachelor's degree
29,0,high school diploma or equivalent
38,7800,master's degree
39,0,master's degree
29,42000,bachelor's degree
44,103037,master's degree
38,70000,bachelor's degree
33,15000,bachelor's degree
37,4500,master's degree
31,20000,bachelor's degree
24,57000,master's degree
44,50000,bachelor's degree
41,60000,"associate's degree, academic program"
33,26000,some college but no degree
48,65000,some college but no degree
26,15952,bachelor's degree
33,50000,bachelor's degree
46,80000,master's degree
21,18000,some college but no degree
41,49000,master's degree
45,49780,bachelor's degree
29,80037,bachelor's degree
43,47000,high school diploma or equivalent
47,29000,high school diploma or equivalent
49,71600,"associate's degree, academic program"
23,0,bachelor's degree
37,52000,some college but no degree
22,10980,some college but no degree
50,31000,high school diploma or equivalent
26,8000,master's degree
33,28800,high school diploma or equivalent
47,32250,some college but no degree
26,10563,grades 7 or 8
48,78600,"associate's degree, academic program"
49,37000,high school diploma or equivalent
48,25000,high school diploma or equivalent
40,52000,high school diploma or equivalent
42,78000,bachelor's degree
42,72000,bachelor's degree
38,30000,bachelor's degree
24,24000,bachelor's degree
26,24000,bachelor's degree
26,24000,bachelor's degree
48,0,some college but no degree
49,80000,master's degree
36,90000,master's degree
28,33000,bachelor's degree
27,33000,master's degree
25,25000,bachelor's degree
49,80000,master's degree
29,54000,master's degree
25,25000,bachelor's degree
48,31500,bachelor's degree
40,90037,professional school degree
36,55000,some college but no degree
37,8500,high school diploma or equivalent
33,0,professional school degree
26,25000,professional school degree
21,24000,some college but no degree
35,13000,bachelor's degree
36,50000,bachelor's degree
40,66200,high school diploma or equivalent
38,190037,bachelor's degree
48,95000,master's degree
42,0,professional school degree
20,0,high school diploma or equivalent
34,96000,bachelor's degree
43,50000,some college but no degree
26,17000,high school diploma or equivalent
26,19000,high school diploma or equivalent
36,38000,high school diploma or equivalent
25,49000,bachelor's degree
25,35000,bachelor's degree
25,40000,high school diploma or equivalent
26,60000,bachelor's degree
29,37000,bachelor's degree
48,10000,bachelor's degree
45,0,bachelor's degree
30,3000,bachelor's degree
39,95000,professional school degree
21,0,high school diploma or equivalent
29,0,professional school degree
35,31000,doctorate degree
36,35000,master's degree
43,0,doctorate degree
25,30000,bachelor's degree
40,70000,master's degree
41,30000,high school diploma or equivalent
48,35000,high school diploma or equivalent
43,67000,master's degree
44,14400,high school diploma or equivalent
39,60000,master's degree
33,19500,grade 11
29,26000,grade 11
40,58000,bachelor's degree
37,130000,doctorate degree
34,30000,bachelor's degree
49,74000,master's degree
36,25000,some college but no degree
42,39000,some college but no degree
38,25500,bachelor's degree
43,30000,high school diploma or equivalent
45,229339,some college but no degree
27,40700,high school diploma or equivalent
25,62000,high school diploma or equivalent
41,58000,some college but no degree
27,60000,high school diploma or equivalent
45,120000,high school diploma or equivalent
37,229339,some college but no degree
49,33000,"associate's degree, occupational/vocational program"
40,71000,high school diploma or equivalent
27,21000,high school diploma or equivalent
36,15000,"grades 1, 2, 3, or 4"
40,16000,bachelor's degree
36,75225,professional school degree
30,1900,high school diploma or equivalent
35,20000,some college but no degree
48,100000,master's degree
32,34000,bachelor's degree
50,0,"associate's degree, occupational/vocational program"
40,20000,"grades 1, 2, 3, or 4"
33,10000,master's degree
36,30000,bachelor's degree
40,61000,high school diploma or equivalent
43,40000,high school diploma or equivalent
40,35000,high school diploma or equivalent
43,35000,bachelor's degree
36,73000,bachelor's degree
41,24000,"associate's degree, academic program"
47,68000,some college but no degree
39,4000,high school diploma or equivalent
42,21000,high school diploma or equivalent
39,37000,some college but no degree
35,83000,bachelor's degree
42,57000,"associate's degree, occupational/vocational program"
33,33000,some college but no degree
22,17600,high school diploma or equivalent
21,20800,some college but no degree
23,0,grade 11
25,50000,bachelor's degree
27,50000,bachelor's degree
20,2940,some college but no degree
39,65000,bachelor's degree
35,66000,bachelor's degree
48,20000,grade 11
47,33000,"associate's degree, academic program"
25,17000,high school diploma or equivalent
47,25000,high school diploma or equivalent
31,30000,some college but no degree
27,25000,high school diploma or equivalent
48,66500,master's degree
40,140000,master's degree
50,45000,some college but no degree
40,25950,grade 11
26,50000,bachelor's degree
33,58000,high school diploma or equivalent
29,42000,high school diploma or equivalent
47,0,grades 5 or 6
33,42000,high school diploma or equivalent
33,2000,high school diploma or equivalent
22,10000,some college but no degree
43,28500,bachelor's degree
39,31000,master's degree
39,75000,bachelor's degree
45,33600,high school diploma or equivalent
25,17000,master's degree
37,0,some college but no degree
44,0,grade 11
26,0,"12th grade, no diploma"
45,50000,some college but no degree
50,40000,bachelor's degree
35,21000,some college but no degree
29,32000,high school diploma or equivalent
48,38000,some college but no degree
49,40000,some college but no degree
31,0,high school diploma or equivalent
26,19000,high school diploma or equivalent
21,6000,grade 10
49,18200,grade 11
45,11700,high school diploma or equivalent
21,5664,some college but no degree
37,30000,high school diploma or equivalent
40,38000,bachelor's degree
38,0,professional school degree
45,47000,some college but no degree
37,32000,high school diploma or equivalent
39,75000,high school diploma or equivalent
31,59000,bachelor's degree
35,32000,some college but no degree
33,41000,high school diploma or equivalent
32,30000,bachelor's degree
50,3700,grade 9
46,0,bachelor's degree
50,15000,grade 11
32,39962,high school diploma or equivalent
28,31000,bachelor's degree
46,0,high school diploma or equivalent
43,34000,some college but no degree
49,53000,"associate's degree, academic program"
50,34000,high school diploma or equivalent
47,36400,"associate's degree, occupational/vocational program"
49,44000,high school diploma or equivalent
40,229339,"associate's degree, academic program"
47,60000,"associate's degree, occupational/vocational program"
42,0,high school diploma or equivalent
28,54000,bachelor's degree
30,40000,high school diploma or equivalent
48,65000,master's degree
28,35000,bachelor's degree
29,0,doctorate degree
35,44000,some college but no degree
46,15000,"associate's degree, academic program"
45,21000,high school diploma or equivalent
50,45000,high school diploma or equivalent
39,51000,bachelor's degree
47,60000,professional school degree
23,0,bachelor's degree
21,0,some college but no degree
43,5000,high school diploma or equivalent
30,29000,bachelor's degree
25,35000,some college but no degree
38,30000,high school diploma or equivalent
38,8000,high school diploma or equivalent
38,29600,bachelor's degree
44,75000,some college but no degree
45,35000,some college but no degree
50,0,high school diploma or equivalent
38,81000,master's degree
37,1800,high school diploma or equivalent
35,17530,high school diploma or equivalent
36,12480,some college but no degree
31,21732,high school diploma or equivalent
21,0,grades 7 or 8
46,32700,some college but no degree
47,37000,high school diploma or equivalent
43,40000,some college but no degree
33,36000,"associate's degree, academic program"
48,85000,some college but no degree
42,279376,doctorate degree
21,8000,some college but no degree
41,37000,some college but no degree
50,15000,bachelor's degree
20,10400,high school diploma or equivalent
38,45000,high school diploma or equivalent
23,6000,some college but no degree
21,3000,some college but no degree
29,36000,high school diploma or equivalent
42,35000,professional school degree
45,55000,bachelor's degree
39,46000,doctorate degree
34,19000,bachelor's degree
34,0,bachelor's degree
33,37000,some college but no degree
34,45053,bachelor's degree
44,61466,master's degree
42,62618,master's degree
46,42000,high school diploma or equivalent
47,55000,some college but no degree
45,49000,some college but no degree
41,7000,high school diploma or equivalent
43,30000,some college but no degree
29,25000,"associate's degree, occupational/vocational program"
31,35000,bachelor's degree
45,0,grade 10
20,3000,high school diploma or equivalent
45,0,grades 7 or 8
47,10000,high school diploma or equivalent
25,0,some college but no degree
20,17000,high school diploma or equivalent
23,5000,some college but no degree
39,45000,master's degree
33,38000,bachelor's degree
29,34000,high school diploma or equivalent
50,0,high school diploma or equivalent
21,17400,high school diploma or equivalent
50,20000,high school diploma or equivalent
41,56000,some college but no degree
46,25000,grade 11
21,15000,grade 11
25,42000,bachelor's degree
38,75000,master's degree
46,150000,"associate's degree, academic program"
37,35000,some college but no degree
37,30000,high school diploma or equivalent
24,23000,high school diploma or equivalent
32,0,high school diploma or equivalent
31,23000,bachelor's degree
42,45000,high school diploma or equivalent
20,15000,some college but no degree
22,0,some college but no degree
41,100000,bachelor's degree
40,15000,high school diploma or equivalent
32,36000,"associate's degree, academic program"
35,35000,high school diploma or equivalent
34,61000,some college but no degree
44,0,grade 11
43,36000,high school diploma or equivalent
43,0,high school diploma or equivalent
46,35000,high school diploma or equivalent
23,2000,bachelor's degree
37,0,high school diploma or equivalent
42,26000,grade 10
37,23000,high school diploma or equivalent
44,84000,master's degree
28,26000,high school diploma or equivalent
40,0,high school diploma or equivalent
41,22000,high school diploma or equivalent
47,40000,some college but no degree
45,31200,bachelor's degree
29,6500,high school diploma or equivalent
31,20000,high school diploma or equivalent
41,0,grade 9
37,56000,bachelor's degree
46,36000,bachelor's degree
34,28800,bachelor's degree
36,39000,some college but no degree
32,44000,high school diploma or equivalent
20,3000,some college but no degree
48,24200,high school diploma or equivalent
41,60000,some college but no degree
34,0,grade 10
46,49000,bachelor's degree
40,0,grades 7 or 8
23,18000,"associate's degree, academic program"
32,34000,high school diploma or equivalent
25,25000,some college but no degree
29,0,high school diploma or equivalent
32,25000,some college but no degree
33,24000,high school diploma or equivalent
34,10000,grade 9
36,35000,grade 11
42,45000,"associate's degree, occupational/vocational program"
41,25000,high school diploma or equivalent
27,25000,bachelor's degree
31,72000,doctorate degree
23,20000,"associate's degree, occupational/vocational program"
42,80000,bachelor's degree
39,77000,high school diploma or equivalent
36,0,grade 9
41,0,high school diploma or equivalent
36,0,high school diploma or equivalent
26,7800,high school diploma or equivalent
25,0,high school diploma or equivalent
50,16800,grades 7 or 8
29,45000,some college but no degree
21,31000,high school diploma or equivalent
28,35000,"associate's degree, occupational/vocational program"
45,24000,bachelor's degree
45,55487,high school diploma or equivalent
28,10670,bachelor's degree
21,8343,"associate's degree, occupational/vocational program"
39,16412,professional school degree
41,0,grade 11
23,28000,high school diploma or equivalent
41,39000,some college but no degree
48,45000,bachelor's degree
44,15900,high school diploma or equivalent
49,55000,bachelor's degree
22,1388,bachelor's degree
47,55000,bachelor's degree
33,73000,some college but no degree
48,80000,grades 7 or 8
30,26000,high school diploma or equivalent
35,0,high school diploma or equivalent
50,41000,"12th grade, no diploma"
43,58647,bachelor's degree
50,50000,some college but no degree
31,26000,high school diploma or equivalent
49,75000,master's degree
37,47000,bachelor's degree
25,40000,bachelor's degree
39,125000,professional school degree
35,35000,high school diploma or equivalent
50,104000,bachelor's degree
35,0,some college but no degree
30,29000,bachelor's degree
47,42000,some college but no degree
37,53000,high school diploma or equivalent
31,8000,"associate's degree, occupational/vocational program"
49,58000,high school diploma or equivalent
28,24000,high school diploma or equivalent
35,40000,bachelor's degree
37,34000,high school diploma or equivalent
40,54000,"associate's degree, academic program"
46,30000,high school diploma or equivalent
37,0,high school diploma or equivalent
32,5000,high school diploma or equivalent
33,23223,high school diploma or equivalent
45,40000,bachelor's degree
22,7139,high school diploma or equivalent
31,38000,high school diploma or equivalent
47,18000,master's degree
41,11546,high school diploma or equivalent
46,22000,some college but no degree
41,35000,bachelor's degree
43,39000,high school diploma or equivalent
20,8000,some college but no degree
38,33000,high school diploma or equivalent
47,65000,some college but no degree
44,3000,high school diploma or equivalent
24,25000,some college but no degree
50,95624,bachelor's degree
30,17000,bachelor's degree
38,57000,master's degree
44,58000,high school diploma or equivalent
38,52000,high school diploma or equivalent
29,19000,some college but no degree
41,28000,high school diploma or equivalent
21,22500,high school diploma or equivalent
36,45000,bachelor's degree
50,42000,some college but no degree
45,19850,high school diploma or equivalent
25,29000,bachelor's degree
48,18000,high school diploma or equivalent
34,12500,high school diploma or equivalent
35,32711,high school diploma or equivalent
34,80000,master's degree
31,22000,bachelor's degree
31,26000,high school diploma or equivalent
35,27000,high school diploma or equivalent
41,0,grade 11
28,0,grade 11
38,35000,high school diploma or equivalent
20,0,some college but no degree
35,45000,some college but no degree
20,26000,some college but no degree
31,38000,high school diploma or equivalent
24,11000,high school diploma or equivalent
23,10000,grade 9
24,75000,"associate's degree, occupational/vocational program"
32,26000,grade 10
30,42000,high school diploma or equivalent
35,58000,bachelor's degree
28,50000,"associate's degree, occupational/vocational program"
48,70000,bachelor's degree
28,23145,high school diploma or equivalent
21,24310,high school diploma or equivalent
49,0,some college but no degree
41,0,high school diploma or equivalent
46,33000,bachelor's degree
44,25000,high school diploma or equivalent
49,32000,high school diploma or equivalent
42,0,high school diploma or equivalent
20,18000,some college but no degree
43,19000,high school diploma or equivalent
44,48030,bachelor's degree
40,55000,some college but no degree
45,16288,high school diploma or equivalent
41,60000,some college but no degree
44,25000,high school diploma or equivalent
37,35000,high school diploma or equivalent
45,30100,high school diploma or equivalent
39,50000,high school diploma or equivalent
40,50000,high school diploma or equivalent
38,44000,high school diploma or equivalent
26,33000,some college but no degree
49,23000,grades 7 or 8
27,9000,high school diploma or equivalent
22,2000,grade 10
32,25600,high school diploma or equivalent
49,9600,some college but no degree
28,6000,some college but no degree
23,12576,high school diploma or equivalent
20,500,grade 10
50,42000,high school diploma or equivalent
49,58000,some college but no degree
42,57000,high school diploma or equivalent
48,29000,high school diploma or equivalent
22,7000,some college but no degree
31,0,"associate's degree, occupational/vocational program"
26,10000,high school diploma or equivalent
23,4800,bachelor's degree
41,55331,"associate's degree, academic program"
35,0,some college but no degree
50,60000,bachelor's degree
25,33000,some college but no degree
31,35000,some college but no degree
36,53000,some college but no degree
34,0,bachelor's degree
28,23000,high school diploma or equivalent
36,30000,high school diploma or equivalent
46,0,grade 11
49,0,"associate's degree, academic program"
42,20800,high school diploma or equivalent
42,20800,grade 11
50,32000,grade 11
40,41548,some college but no degree
26,23000,some college but no degree
29,24000,high school diploma or equivalent
38,27000,some college but no degree
43,24000,high school diploma or equivalent
20,0,grade 11
24,0,bachelor's degree
22,6000,some college but no degree
33,29000,high school diploma or equivalent
39,55000,bachelor's degree
46,35000,high school diploma or equivalent
35,0,high school diploma or equivalent
43,30000,high school diploma or equivalent
24,9000,high school diploma or equivalent
32,20733,high school diploma or equivalent
36,3000,high school diploma or equivalent
24,13000,high school diploma or equivalent
22,22000,some college but no degree
31,33000,bachelor's degree
48,38000,high school diploma or equivalent
34,13000,"associate's degree, academic program"
40,40000,high school diploma or equivalent
20,14000,high school diploma or equivalent
43,4316,grade 9
45,35000,master's degree
22,4000,high school diploma or equivalent
25,52000,high school diploma or equivalent
49,25000,high school diploma or equivalent
34,27000,high school diploma or equivalent
30,15125,some college but no degree
43,16900,"associate's degree, academic program"
43,25000,high school diploma or equivalent
36,17500,high school diploma or equivalent
46,50000,high school diploma or equivalent
45,232339,master's degree
34,14000,high school diploma or equivalent
32,65000,bachelor's degree
39,100000,master's degree
21,23000,some college but no degree
24,22000,some college but no degree
47,40000,high school diploma or equivalent
21,13500,some college but no degree
38,0,high school diploma or equivalent
36,23900,high school diploma or equivalent
48,50800,some college but no degree
49,125000,bachelor's degree
21,5000,some college but no degree
29,29400,high school diploma or equivalent
20,17000,some college but no degree
28,59000,bachelor's degree
27,30001,high school diploma or equivalent
25,11800,grade 9
35,19500,high school diploma or equivalent
45,42000,high school diploma or equivalent
41,7847,grades 7 or 8
49,56000,high school diploma or equivalent
25,28700,high school diploma or equivalent
50,0,grades 7 or 8
45,170037,professional school degree
30,115000,bachelor's degree
36,100000,professional school degree
29,10489,high school diploma or equivalent
23,7000,some college but no degree
27,21229,some college but no degree
43,0,high school diploma or equivalent
22,768,grade 9
35,30000,high school diploma or equivalent
43,15000,grade 11
27,45000,bachelor's degree
44,0,high school diploma or equivalent
35,11000,high school diploma or equivalent
35,10712,high school diploma or equivalent
21,11000,grade 11
44,41900,some college but no degree
39,35000,"associate's degree, occupational/vocational program"
32,0,high school diploma or equivalent
48,45000,high school diploma or equivalent
27,14460,grade 10
40,42000,"associate's degree, occupational/vocational program"
26,23000,bachelor's degree
45,24934,some college but no degree
28,21000,high school diploma or equivalent
22,22000,some college but no degree
21,36000,some college but no degree
41,48000,some college but no degree
23,15000,bachelor's degree
36,25000,high school diploma or equivalent
21,5000,some college but no degree
29,60000,bachelor's degree
42,24500,bachelor's degree
29,47000,"associate's degree, occupational/vocational program"
42,81000,"associate's degree, occupational/vocational program"
45,23000,some college but no degree
39,36000,high school diploma or equivalent
43,58000,bachelor's degree
34,46000,some college but no degree
32,12350,grade 10
42,25953,high school diploma or equivalent
37,56000,bachelor's degree
30,5500,grades 7 or 8
31,14880,grade 11
30,0,bachelor's degree
50,49700,high school diploma or equivalent
20,0,some college but no degree
36,33500,some college but no degree
49,0,grades 5 or 6
25,0,grade 10
33,28000,high school diploma or equivalent
45,0,grade 9
33,30000,bachelor's degree
29,0,grade 9
